game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
9150,-1,1,O,X,0.4782905,0
9151,-1,1,X,O,0.014137944,0
9152,1,-1,O,X,0.79472184,0
9153,1,-1,X,O,0.0005405494,0
9154,0,0,O,X,0.0031809774,0
9155,1,-1,X,O,0.036022373,0
9156,-1,1,O,X,0.58637905,0
9157,1,-1,X,O,0.0015323098,0
9158,1,-1,O,X,0.02255834,0
9159,1,-1,X,O,0.11073465,0
9160,-1,1,O,X,0.17528486,0
9161,1,-1,X,O,0.007949718,0
9162,1,-1,O,X,0.043817192,0
9163,0,0,X,O,0.0022199694,0
9164,-1,1,O,X,0.14008911,0
9165,1,-1,X,O,0.011107809,0
9166,-1,1,O,X,0.36632264,0
9167,1,-1,X,O,0.46450585,0
9168,1,-1,O,X,0.016349658,0
9169,1,-1,X,O,0.0019173193,0
9170,-1,1,O,X,1.1125057,0
9171,-1,1,X,O,0.03637729,0
9172,-1,1,O,X,0.0024902765,0
9173,1,-1,X,O,0.0017877402,0
9174,-1,1,O,X,0.15102609,0
9175,0,0,X,O,0.0023955067,0
9176,-1,1,O,X,0.009515242,0
9177,-1,1,X,O,0.0067980485,0
9178,-1,1,O,X,0.2579227,0
9179,-1,1,X,O,0.0073729674,0
9180,-1,1,O,X,1.1018368,0
9181,1,-1,X,O,0.38269168,0
9182,-1,1,O,X,0.049491696,0
9183,1,-1,X,O,0.02585976,0
9184,-1,1,O,X,0.002784909,0
9185,-1,1,X,O,0.059013043,0
9186,1,-1,O,X,0.10271829,0
9187,-1,1,X,O,0.022676667,0
9188,-1,1,O,X,0.8504863,0
9189,1,-1,X,O,0.00021562369,0
