game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
16639,-1,1,X,O,0.08626067638397217,0
16640,-1,1,O,X,0.07186621427536011,0
16641,1,-1,X,O,0.12299956381320953,0
16642,1,-1,O,X,0.11854095011949539,0
16643,1,-1,X,O,0.0929911807179451,0
16644,1,-1,O,X,0.12706248462200165,0
16645,1,-1,X,O,0.04552687332034111,0
16646,-1,1,O,X,0.10967989265918732,0
16647,1,-1,X,O,0.12838873267173767,0
16648,-1,1,O,X,0.10006578266620636,0
16649,1,-1,X,O,0.08356982469558716,0
16650,-1,1,O,X,0.06361992657184601,0
16651,1,-1,X,O,0.07334811985492706,0
16652,1,-1,O,X,0.09695978462696075,0
16653,1,-1,X,O,0.08883384615182877,0
16654,-1,1,O,X,0.10355176776647568,0
16655,1,-1,X,O,0.1114782765507698,0
16656,1,-1,O,X,0.08031366765499115,0
16657,1,-1,X,O,0.07984933257102966,0
16658,-1,1,O,X,0.07963527739048004,0
16659,-1,1,X,O,0.09143508225679398,0
16660,1,-1,O,X,0.0851152092218399,0
16661,1,-1,X,O,0.06590761989355087,0
16662,-1,1,O,X,0.08187659084796906,0
16663,1,-1,X,O,0.08507035672664642,0
16664,-1,1,O,X,0.09391185641288757,0
16665,1,-1,X,O,0.07374955713748932,0
16666,1,-1,O,X,0.0558798648416996,0
16667,1,-1,X,O,0.11486449837684631,0
16668,1,-1,O,X,0.103310227394104,0
16669,1,-1,X,O,0.055825695395469666,0
16670,-1,1,O,X,0.08584761619567871,0
16671,-1,1,X,O,0.17344525456428528,0
16672,1,-1,O,X,0.11147349327802658,0
16673,-1,1,X,O,0.10105663537979126,0
16674,-1,1,O,X,0.08515797555446625,0
16675,1,-1,X,O,0.09829813241958618,0
16676,-1,1,O,X,0.11358717083930969,0
16677,1,-1,X,O,0.04537630453705788,0
16678,-1,1,O,X,0.08865021914243698,0
16679,1,-1,X,O,0.07446224987506866,0
16680,-1,1,O,X,0.09044376015663147,0
16681,1,-1,X,O,0.08456718921661377,0
16682,0,0,O,X,0.13826552033424377,0
16683,1,-1,X,O,0.06703926622867584,0
16684,-1,1,O,X,0.09621013700962067,0
16685,1,-1,X,O,0.0808139443397522,0
16686,-1,1,O,X,0.08805188536643982,0
16687,-1,1,X,O,0.08228999376296997,0
16688,-1,1,O,X,0.07845798879861832,0
16689,1,-1,X,O,0.08465738594532013,0
16690,1,-1,O,X,0.10735973715782166,0
16691,1,-1,X,O,0.08332877606153488,0
