,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
5498,5499,1,-1,X,O,0.100425124168396,0.07027101516723633,-0.828,0.894,0.5
5748,5749,0,0,X,O,0.08399853855371475,0.09819644689559937,-0.21,0.776,0.5
5998,5999,0,0,X,O,0.07001270353794098,0.1322403848171234,-0.584,0.802,0.5
6248,6249,1,-1,X,O,0.08044010400772095,0.10697312653064728,-0.79,0.804,0.5
6498,6499,1,-1,X,O,0.06275731325149536,0.0659918263554573,-0.82,0.818,0.5
6748,6749,-1,1,X,O,0.08640491962432861,0.09282268583774567,-0.298,0.884,0.5
6998,6999,1,-1,X,O,0.0956779271364212,0.12650328874588013,-0.816,0.834,0.5
7248,7249,-1,1,X,O,0.11228282749652863,0.06981635838747025,-0.28,0.726,0.5
7498,7499,0,0,X,O,0.06909370422363281,0.07835239171981812,-0.72,0.808,0.5
7748,7749,-1,1,X,O,0.09263989329338074,0.10924458503723145,-1.0,0.834,0.5
7998,7999,-1,1,X,O,0.07131322473287582,0.15223899483680725,-0.5,0.862,0.5
8248,8249,1,-1,X,O,0.09236013889312744,0.07402391731739044,-0.782,0.866,0.5
8498,8499,1,-1,X,O,0.12570720911026,0.09957289695739746,-0.894,0.782,0.5
8748,8749,-1,1,X,O,0.1002989113330841,0.0841410756111145,-1.0,0.9,0.5
8998,8999,1,-1,X,O,0.07427525520324707,0.10837174206972122,-0.806,0.824,0.5
9248,9249,-1,1,X,O,0.0848078802227974,0.06064600497484207,-0.096,0.844,0.5
9498,9499,1,-1,X,O,0.06644876301288605,0.0844990462064743,-1.0,0.718,0.5
9748,9749,0,0,X,O,0.06384244561195374,0.08051804453134537,-0.808,0.884,0.5
9998,9999,-1,1,X,O,0.10261006653308868,0.08757641166448593,-0.818,0.856,0.5
10248,10249,-1,1,X,O,0.10005302727222443,0.0584937147796154,-0.088,0.84,0.5
10498,10499,-1,1,X,O,0.12132775038480759,0.10274163633584976,-0.61,0.878,0.5
10748,10749,-1,1,X,O,0.07186713814735413,0.13728973269462585,-0.712,0.854,0.5
10998,10999,-1,1,X,O,0.09715627133846283,0.07305153459310532,-0.734,0.848,0.5
11248,11249,1,-1,X,O,0.10467512905597687,0.12383024394512177,-0.712,0.848,0.5
11498,11499,0,0,X,O,0.09539888054132462,0.11263933032751083,-0.622,0.864,0.5
11748,11749,-1,1,X,O,0.08328017592430115,0.0956149771809578,0.382,0.858,0.5
11998,11999,-1,1,X,O,0.05898187309503555,0.05719100683927536,-0.586,0.67,0.5
